1150304;Tennis de Table du Pays Gentiane;
1150291;TENNIS DE TABLE MAURIAC;
1150290;TT DU PAYS DE MAURS;
1150306;Union Sportive Marmanhacoise T T;
10160237;Aigre Club Pongiste du Pays;
10160029;Angoulême TTGF;
10160122;AP Séverinoise;
10160069;Baignes T T C B;
10160010;Chabanais tennis de table;
10160085;Chalais - Montmoreau;
10160028;Chasseneuil T.T.C.;
10160044;Chateaubernard SL TT;
10160051;Chateauneuf TT Castelnovien;
10160240;Chazellois Copains Pongistes;
10160040;Cognac UA;
10160236;Confolens Tennis de Table;
10160049;Fléac M J C;
10160024;Gond Pontouvre T.T.G.P.;
10160186;L'Isle d'Espagnac 3STT;
10160023;La Couronne COC;
10160232;La Rochefoucauld UA TT;
10160071;Luchac-Chassors T T;
10160059;Magnac/Touvre TT Pirons;
10160003;Mansle Coqs Rouges;
10160030;Merpins U S;
10160047;Montbron Club Pongiste;
10160018;Mornac Tennis de Table;
10160002;Mouthiers MJC J. BERRY;
10160185;Puymoyen Tennis de Table;
10160225;Ruffec Chef Boutonne TT;
10160218;Sireuil ALTT;
10160042;STT Brie Champniers;
10160226;Torsac Club Pongiste;
10160013;Tourriers Jauldes EP;
10160196;TTC SG.ROUILLAC;
10160197;Vars Entente Pongiste;
10160223;Villefagnan Animation Loisirs;
10170029;Aigrefeuille CP;
10170049;Angoulins TT;
10170178;Bords TT;
10170218;Bourgneuf/St-Rogatien TT;
10170223;Burie CTT;
10170004;Chaniers/Montils la raquette;
10170028;Club Pongiste Nieulais;
10170034;Corme Royal TTC;
10170009;Cozes club pongiste;
10170026;Echillais-St agnant TT;
10170064;Fouras CP;
10170005;Gémozac Tennis de Table;
10170024;Jonzac CP;
10170012;La Rochelle ASPTT;
10170051;La Rochelle CP Rochelais;
10170162;Marans-Courçon ALTT;
10170031;Marennes Oléron CPPMO;
10170003;Mirambeau MTT;
10170230;Montendre Club Omnisport;
10170007;Montlieu LA GARDE T T;
10170042;Périgny Ping;
10170228;RE tennis de table;
10170073;Rochefort CRTT;
10170138;Royan Gazelec Sports;
10170016;Royan Océan Saint Sulpice TT;
10170050;Saintes USSTT;
10170035;St Christophe ATT;
10170229;St Genis Champagnac U.P.;
10170158;St Georges des Coteaux AS;
10170150;St Germain Lusignan FR;
10170046;St Jean d'Angély TT;
10170033;St-Palais-Vaux/Mer;
10170214;Surgères ACP;
4180727;A.T.T. PREVERANGES;
4180732;AVENIR DE LIGNIERES TT;
4180157;AVORD TT;
4180734;BAUGY TENNIS DE TABLE;
4180486;C P BIGNY VALLENAY;
4180644;C.S. MICHELIN;
4180726;CE MBDA BOURGES TENNIS TABLE;
4180174;CERCLE PONGISTE MEHUNOIS;
4180613;CJM BOURGES TT;
